sample,label
11_41_70719,1
11_41_70965,2
11_41_150324,2
11_41_150702,3
11_41_150739,3
11_41_150749,3
11_41_150759,3
11_41_160600,3
11_41_181302,3
11_41_181323,2
11_41_181326,2
11_41_190111,3
11_41_190135,2
11_41_190138,2
11_41_190383,2
11_41_261500,2
11_41_291348,4
11_41_291356,5
11_41_380653,5
11_41_380694,4
11_41_380735,3
11_41_380739,4
11_41_380753,4
11_41_380754,4
11_41_380762,5
11_41_380763,4
11_41_380770,4
11_41_380778,4
11_41_380784,4
11_41_380793,5
11_41_380794,4
11_41_380799,5
11_41_380803,4
11_41_380814,4
11_41_380815,5
11_41_380817,4
11_41_380830,4
11_41_380835,4
11_41_380838,4
11_41_380848,4
11_41_380855,4
11_41_380863,5
11_41_380868,4
11_41_380873,4
11_41_380889,4
11_41_380891,4
11_41_380918,4
11_41_380935,4
11_41_380938,4
11_41_380944,4
11_41_380945,3
11_41_380953,3
11_41_401378,4
11_41_401483,3
11_41_401499,5
11_41_401501,4
11_41_401503,5
11_41_401504,4
11_41_401508,4
11_41_401512,5
11_41_401517,5
11_41_401521,5
11_41_401522,3
11_41_401525,4
11_41_401542,5
11_41_401552,2
11_41_401555,3
11_41_401565,4
11_41_401572,5
11_41_401577,4
11_41_401582,4
11_41_401588,3
11_41_401594,4
11_41_401596,4
11_41_401599,3
11_41_401602,4
11_41_401607,3
11_41_401615,4
11_41_401624,5
11_41_401627,5
11_41_401628,4
11_41_401629,5
11_41_401630,5
11_41_401631,3
11_41_401633,3
11_41_401634,3
11_41_401636,4
11_41_401639,3
11_41_401641,4
11_41_401642,3
11_41_401665,4
11_41_401667,5
11_41_401668,4
11_41_401670,5
11_41_401672,5
11_41_401673,3
11_41_401680,3
11_41_401682,4
11_41_401686,4
11_41_401688,5
11_41_401690,5
11_41_401712,4
11_41_401713,5
11_41_401716,3
11_41_401730,4
11_41_401731,3
11_41_401732,5
11_41_401735,5
11_41_401740,5
11_41_401742,5
11_41_401744,4
11_41_401759,3
11_41_401760,5
11_41_401768,5
11_41_401769,3
11_41_401780,5
11_41_401788,2
11_41_401789,4
11_41_401791,2
11_41_401796,3
11_41_401797,3
11_41_401804,3
11_41_401821,5
11_41_401824,5
11_41_401837,4
11_41_401844,4
11_41_401857,5
11_41_401858,4
11_41_401860,5
11_41_401872,3
11_41_401889,5
11_41_401920,3
11_41_401927,5
11_41_401942,4
11_41_401943,4
11_41_401945,5
11_41_401977,4
11_41_401986,5
11_41_401987,4
11_41_401991,4
11_41_401994,5
11_41_401999,4
11_41_402004,3
11_41_402020,3
11_41_402044,4
