sample,label
11_41_40057,1
11_41_40059,1
11_41_40083,2
11_41_40124,2
11_41_40144,3
11_41_40154,4
11_41_40156,2
11_41_40162,2
11_41_40173,2
11_41_40176,2
11_41_40187,2
11_41_40203,4
11_41_40205,2
11_41_40212,2
11_41_40218,1
11_41_40219,2
11_41_40230,2
11_41_40248,2
11_41_40253,2
11_41_40257,2
11_41_40270,1
11_41_40278,1
11_41_40289,5
11_41_40294,4
11_41_40314,2
11_41_40318,3
11_41_40332,1
11_41_40333,2
11_41_40340,2
11_41_40357,2
11_41_40365,1
11_41_40367,3
11_41_40369,2
11_41_40371,2
11_41_40377,2
11_41_40379,2
11_41_40388,2
11_41_40396,2
11_41_40407,4
11_41_40413,2
11_41_40422,2
11_41_40424,2
11_41_40426,2
11_41_40428,2
11_41_50026,2
11_41_50039,2
11_41_50056,2
11_41_50072,2
11_41_50085,2
11_41_50086,2
11_41_50090,2
11_41_50097,2
11_41_50101,2
11_41_50103,2
11_41_50105,2
11_41_50106,2
11_41_50121,2
11_41_50123,2
11_41_50130,2
11_41_50138,2
11_41_50139,5
11_41_50142,2
11_41_50148,2
11_41_50154,2
11_41_50156,2
11_41_50158,1
11_41_50161,2
11_41_50162,2
11_41_50164,2
11_41_50183,2
11_41_50192,2
11_41_50195,2
11_41_50198,2
11_41_50203,2
11_41_50205,2
11_41_50210,2
11_41_50214,2
11_41_50228,2
11_41_50229,2
11_41_50239,2
11_41_50240,2
11_41_50244,2
11_41_50246,2
11_41_50248,2
11_41_50250,2
11_41_50255,2
11_41_50261,2
11_41_50270,2
11_41_50271,2
11_41_50280,2
11_41_50291,1
11_41_50296,4
11_41_50301,5
11_41_50306,4
11_41_50313,2
11_41_50314,1
11_41_50317,1
11_41_50319,1
11_41_50324,1
11_41_50325,5
11_41_50337,1
11_41_50342,6
11_41_50344,1
11_41_50351,5
11_41_50354,1
11_41_50356,4
11_41_50362,4
11_41_50363,5
11_41_50367,1
11_41_50372,1
11_41_50376,5
11_41_50379,7
11_41_50380,4
11_41_50383,4
11_41_50384,5
11_41_50385,1
11_41_50386,4
11_41_50387,4
11_41_50390,7
11_41_50391,3
11_41_50401,4
11_41_50404,5
11_41_50405,1
11_41_50407,7
11_41_50410,1
11_41_50418,7
11_41_50419,5
11_41_50421,1
11_41_50424,7
11_41_50427,7
11_41_50429,1
11_41_50431,7
11_41_50440,7
11_41_50442,5
11_41_50443,1
11_41_50444,7
11_41_50448,1
11_41_50451,1
11_41_50454,5
11_41_50460,7
11_41_50468,7
11_41_50471,1
11_41_50479,1
11_41_50482,5
11_41_50483,7
11_41_50494,1
11_41_50496,4
11_41_50497,1
11_41_50506,7
11_41_50510,1
11_41_50512,4
11_41_50516,1
11_41_50519,1
11_41_50522,5
11_41_50527,2
11_41_50536,5
11_41_50537,1
11_41_50541,7
11_41_50544,1
11_41_50547,4
11_41_50549,7
11_41_50550,1
11_41_50571,8
11_41_50572,1
